ID,DATE,REGION_CLUSTER,MAINTENANCE_VENDOR,MANUFACTURER,WELL_GROUP,S15,S17,S13,S5,S16,S19,S18,EQUIPMENT_FAILURE,S8,AGE_OF_EQUIPMENT
100009,12/26/2014,H,M,X,3,27.84,0,23.66,7215,3.8419,84.5,135.1,0,0,344
100009,12/27/2014,H,M,X,3,27.12,0,24.41,7445,3.8522,84.5,134.8,0,0,345
100019,3/11/2016,B,M,Q,4,0,0,28.34,2522,10.472,0,11.4,1,43.05,1205
100020,2/8/2016,E,L,Y,4,0,0,32.703333,6965.333333,7.896,0,15.2,1,8.48,3313
100036,12/28/2014,A,M,T,4,0,0,24.150769,5372.307692,7.4399,0,658.2,1,9.210385,1646
100019,12/2/2014,B,M,Q,4,0,0,32.47,2890,5.8962,5.6,25.7,0,0,740
100019,12/3/2014,B,M,Q,4,0,0,31.31,2787,6.5302,5.6,25.7,0,0,741
100019,12/4/2014,B,M,Q,4,0,0,31.9,2839,7.925,5.6,25.7,0,0,742
100019,12/5/2014,B,M,Q,4,0,0,31.91,2840,5.1988,5.6,25.7,0,0,743
100019,12/6/2014,B,M,Q,4,0,0,30.26,2693,7.608,5.6,25.7,0,0,744
100019,12/7/2014,B,M,Q,4,0,0,32.42,2885,5.7694,5.6,25.7,0,0,745
100019,12/8/2014,B,M,Q,4,0,0,35.97,3201,4.8184,1.1,25.7,0,0,746
100019,12/9/2014,B,M,Q,4,0,0,30.69,2731,4.9452,1.1,25.7,0,0,747
100019,12/10/2014,B,M,Q,4,0,0,30.07,2676,6.2132,1.1,25.7,0,0,748
100015,12/2/2014,B,K,U,5,6.617407,140.855172,31.91,5520,8.314231,31.2,33.089655,0,126.12,640
100015,12/3/2014,B,K,U,5,7.570596,158.528571,32.09,5552,8.374229,31.2,33.085714,0,148.08,641
100015,12/4/2014,B,K,U,5,6.750333,132.133333,32.18,5568,7.707378,31.2,33.085185,0,126.43,642
100015,12/5/2014,B,K,U,5,6.407546,118.945385,31.82,5504,6.002308,31.2,33.084615,0,126.2,643
100015,12/6/2014,B,K,U,5,6.269248,148.3084,32.55,5632,9.411208,31.2,33.088,0,147.62,644
100015,12/7/2014,B,K,U,5,7.290712,111.593333,31.35,5424,7.707458,31.2,33.091667,0,148.61,645
100015,12/8/2014,B,K,U,5,5.449739,139.567391,32.65,5648,7.596939,31.2,33.1,0,148.41,646
100015,12/9/2014,B,K,U,5,6.333723,110.25,31.35,5424,6.144982,28.8,33.109091,0,148.62,647
100015,12/10/2014,B,K,U,5,7.7634,141.12,33.29,5760,7.763957,28.8,33.119048,0,148.8,648
100015,12/11/2014,B,K,U,5,7.694735,111.72,30.98,5360,6.32043,28.8,33.13,0,149.74,649
100015,12/12/2014,B,K,U,5,8.168842,163.17,31.54,5456,8.225042,28.8,33.136842,0,165.68,650
100120,7/3/2016,A,L,Z,5,0,0,43.828,3330.96,6.1985,1.2,34.3,1,17.9284,1539
100123,12/8/2015,D,L,W,5,0,0,0,0,0,4.7,0,1,0,3551
100127,4/23/2016,A,L,W,5,0,0,10.74,3921,3.724,24.7,608,1,840.35,988
100142,3/15/2015,E,I,X,5,0,0,43.6492,5194.28,6.7071,0,476.9,1,471.7016,703
100175,7/1/2016,A,N,Q,5,0,0,0,0,6.944,3.6,428.3,1,0,1317
100184,5/24/2015,G,M,W,5,0,0,0,0,12.1437,0,29.5,1,0,213
100002,10/27/2015,D,L,R,6,0,0,36.1,4296,9.8268,29,243,1,247.09,1149
100021,6/30/2015,F,L,S,6,0,0,31.173043,3397.913043,7.3863,1.4,11.6,1,51.607391,9050
100031,9/23/2016,D,J,U,6,0,0,32.82,2757,12.0637,12.9,102,1,232.46,901
100046,8/9/2016,A,N,S,6,0,0,33.78,3006,6.1005,4,4.3,1,13.82,1296
100048,4/4/2015,A,L,T,6,0,0,28.35,3374,4.95,0,188.6,1,90.11,1103
100055,8/2/2016,A,N,Q,6,0,0,12.8,3904,6.0345,17.5,1009.8,1,526.56,1029
100074,2/24/2015,B,O,R,6,0,0,18.182692,4654.846154,5.4444,2.4,18.2,1,61.188462,204
100082,9/21/2016,A,N,Z,6,0,0,52.29,6223,7.245,0.2,293.7,1,311.96,1639
100097,2/3/2015,A,M,U,6,0,0,0,0,8.004,0,86.6,1,0,683
100136,4/12/2016,E,J,S,6,0,0,29.74,6335,5.085,23.5,810.3,1,913.89,957
100146,3/11/2016,A,O,W,6,0,0,33.16,2951,5.64,0.4,9.6,1,7.83,585
100149,10/19/2016,C,J,U,6,0,0,0,0,9.1455,1.1,12.1,1,0,787
100173,3/11/2016,C,I,R,6,0,0,41.18,2759,7.711,13.7,23.6,1,60.99,5745
100187,8/18/2015,B,P,W,6,0,0,36.99,3292,9.1134,0,57.9,1,50.71,10359
100200,12/29/2014,G,O,W,6,0,0,40.53,8632,6.1655,0.5,24.4,1,241.65,1987
100006,12/2/2014,B,J,S,7,24.24,0,53.11,3718,11.595517,0.3,293.837931,0,0,980
100006,12/3/2014,B,J,S,7,25.92,0,47.04,3293,12.649714,0.3,294.025,0,0,981
100006,12/4/2014,B,J,S,7,26.88,0,58.13,4069,8.433185,0.3,294.066667,0,0,982
100006,12/5/2014,B,J,S,7,18.96,0,53.21,3725,8.644062,0.3,294.184615,0,0,983
100006,12/6/2014,B,J,S,7,19.68,0,51.99,3639,8.749528,0.3,294.292,0,0,984
100006,12/7/2014,B,J,S,7,26.16,0,48.9,3423,12.228333,0.3,294.416667,0,0,985
100006,12/8/2014,B,J,S,7,20.64,0,54.53,3817,9.592191,0.3,294.517391,0,0,986
100006,12/9/2014,B,J,S,7,27.6,0,47.5,3325,11.700409,0.3,294.8,0,0,987
100007,12/2/2014,B,N,W,8,18.72,0,40.22,4786,2.656521,24,53.193103,0,0,1380
100007,12/3/2014,B,N,W,8,28.8,0,39.58,4710,2.492529,24,53.107143,0,0,1381
100007,12/4/2014,B,N,W,8,29.04,0,38.83,4621,3.378019,24,53.003704,0,0,1382
100007,12/5/2014,B,N,W,8,28.56,0,40.66,4838,3.705965,44.4,52.930769,0,0,1383
100007,12/6/2014,B,N,W,8,27.84,0,39.86,4743,2.492496,44.4,52.864,0,0,1384
100007,12/7/2014,B,N,W,8,19.2,0,39.55,4706,3.574746,44.4,52.8125,0,0,1385
100007,12/8/2014,B,N,W,8,28.8,0,39.45,4694,3.869887,44.4,52.721739,0,0,1386
100007,12/9/2014,B,N,W,8,27.6,0,38.91,4630,4.001045,0.2,52.654545,0,0,1387
100007,12/10/2014,B,N,W,8,18.48,0,38.81,4618,2.525233,0.2,52.571429,0,0,1388
100007,12/11/2014,B,N,W,8,26.16,0,39.27,4673,3.34509,0.2,52.495,0,0,1389
100007,12/12/2014,B,N,W,8,29.28,0,39.2,4665,3.246679,0.2,52.436842,0,0,1390
100007,12/13/2014,B,N,W,8,30,0,38.88,4627,3.935333,0.2,52.333333,0,0,1391
100007,12/14/2014,B,N,W,8,25.44,0,39.03,4644,3.345,0,52.305882,0,0,1392
100104,9/29/2016,G,P,V,2,0,0,153.95,8621,6.3315,0,21.3,1,0.13,807
100105,8/21/2016,B,J,Q,2,0,0,32.688889,3890.037037,7.9686,0,20.8,1,20.606667,888
100112,9/16/2016,B,K,Z,2,0,0,44.36,2972,10.9816,0,75.1,1,78.4,1494
100115,3/10/2016,B,N,W,2,0,0,0,0,5.1075,8.9,347.6,1,0,744
100159,5/21/2015,B,L,S,2,0,0,37.25,2496,0,15.9,28.9,1,25.27,12050
100162,9/10/2016,B,N,X,2,0,0,37.070714,4411.464286,8.265,0.3,6.9,1,5.562143,908
100209,1/24/2015,D,P,W,2,0,0,27.7045,5901.2,8.262,16.8,440,1,0,1333
100211,10/2/2016,C,J,Z,2,0,0,53.110385,4726.769231,0,0,5.5,1,40.275,930
100222,3/2/2016,A,K,Z,2,0,0,36.0556,4290.56,10.7756,3,232.6,1,264.2636,4356
100244,11/18/2015,B,M,S,2,0.2016,10.7,61.3,4659,5.7696,0,0.3,1,0.19,811
100256,8/13/2015,G,O,Z,2,0,0,43.7844,5210.24,10.3887,0.3,307,1,287.9476,7354
100266,9/20/2016,C,M,V,2,0,0,31.803333,3784.583333,2.7606,0.1,52.2,1,39.965833,1178
100268,3/11/2015,F,J,V,2,0,0,37.88,3371,6.8169,14.7,142.1,1,128.22,299
100269,10/21/2016,E,J,Q,2,0,0,39.000345,5616,10.4902,7.3,62.6,1,178.785517,1129
